City,AQI,PM2.5/1h,PM10/h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
阿坝州,38,6,18,0.5,3,95,74,5
阿克苏地区,143,78,234,1.3,33,65,30,15
阿拉善盟,70,28,87,0.6,12,98,95,13
阿勒泰地区,35,24,0,0.75,28,51,54,52
阿里地区,49,9,48,0.4,3,67,40,11
安康,110,82,124,1.0,29,89,40,13
安庆,125,94,96,0.7,43,67,58,5
鞍山,55,25,57,0.98,29,55,46,25
安顺,54,37,46,0.88,25,107,84,41
安阳,208,157,230,2.08,68,67,33,44
白城,110,82,89,0.45,28,78,62,21
百色,71,51,66,1.1,20,25,12,10
白山,91,30,130,0.9,15,79,60,20
白银,73,39,94,0.8,28,72,48,14
保定,110,52,167,1.0,43,66,35,33
宝鸡,96,50,140,0.84,30,97,51,11
保山,68,38,83,0.65,12,115,76,12
包头,125,38,198,1.47,46,45,43,35
巴彦淖尔,73,43,93,0.93,23,64,49,27
巴中,64,45,64,0.57,22,91,58,6
北海,60,29,67,0.8,13,123,98,10
北京,107,37,162,0.54,33,56,59,3
蚌埠,208,157,180,1.65,74,30,27,16
本溪,79,37,105,0.98,36,48,46,44
毕节,52,34,51,1.1,27,106,91,16
滨州,83,54,113,0.95,41,37,26,23
博州,59,31,65,1.1,15,59,48,34
亳州,339,288,330,2.15,67,31,27,23
沧州,99,38,145,0.57,42,57,42,18
长春,108,80,87,1.16,53,53,42,33
常德,104,77,110,1.3,22,64,40,26
昌都,34,2,22,1.4,9,73,66,2
昌都地区,29,6,12,0.7,11,86,57,8
昌吉州,137,104,80,1.33,37,60,48,14
长沙,141,107,83,1.01,40,23,14,8
常熟,142,108,143,1.2,96,33,16,35
长治,110,82,165,0.84,29,87,52,41
常州,131,99,125,1.52,93,19,12,32
朝阳,36,11,34,0.63,14,75,71,30
潮州,65,34,67,1.0,27,169,116,15
承德,42,14,41,0.66,19,73,54,14
成都,48,25,47,0.64,27,97,64,8
郴州,133,101,154,1.8,66,25,25,38
赤峰,29,7,23,0.5,17,64,57,13
池州,124,93,116,0.87,44,72,72,8
重庆,69,49,68,0.95,43,60,31,8
崇左,61,41,70,0.95,26,77,54,6
楚雄州,42,20,41,0.5,8,99,60,9
滁州,215,164,190,1.3,84,20,21,14
大连,70,41,87,1.05,43,44,39,24
大理州,41,23,40,0.5,16,76,66,4
丹东,56,35,60,0.88,26,61,41,20
大庆,86,63,76,0.9,51,58,43,49
大同,92,32,132,0.88,19,71,41,25
大兴安岭地,0,0,0,0.0,0,0,0,0
大兴安岭地区,46,23,45,0.55,30,37,38,28
达州,192,144,162,1.58,43,61,51,13
德宏州,59,41,55,0.8,23,96,50,13
德阳,65,36,78,0.5,29,92,52,5
德州,106,33,159,1.1,33,59,35,8
定西,65,25,78,0.55,14,89,60,14
迪庆州,47,2,46,0.4,4,87,76,7
东莞,66,47,58,0.84,48,154,98,13
东营,100,49,147,1.45,35,42,28,34
鄂尔多斯,142,71,232,0.94,37,72,54,25
恩施州,202,151,169,2.0,62,8,7,8
鄂州,191,143,0,1.6,48,37,21,15
防城港,76,55,91,1.05,34,64,49,18
佛山,96,71,108,0.73,84,144,81,20
抚顺,76,47,99,0.75,29,69,52,25
阜新,36,12,28,0.3,10,74,70,11
阜阳,308,257,284,2.0,66,10,16,14
富阳,99,73,146,0.9,80,59,59,11
福州,54,19,55,0.53,27,101,65,9
抚州,88,65,94,1.06,38,47,39,17
甘南州,80,10,107,0.8,11,94,68,1
赣州,146,111,187,2.05,54,189,115,39
甘孜藏族自治州,51,19,50,0.4,9,47,41,5
甘孜州,47,27,44,0.55,7,105,92,10
广安,83,61,88,0.74,19,85,42,11
广元,65,32,77,0.7,20,110,53,14
广州,93,69,88,0.92,98,132,75,13
贵港,91,67,102,0.7,35,109,88,28
桂林,207,156,170,1.25,64,44,20,30
贵阳,60,42,64,0.96,31,104,76,25
